<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,20180401,21:00,0.76855,0.76928,0.76844,0.76888,356150000
AUDUSD,20180401,22:00,0.76884,0.76884,0.76834,0.76859,830980000
AUDUSD,20180401,23:00,0.76856,0.7686,0.76807,0.76828,1865340000
AUDUSD,20180402,0:0,0.76828,0.76946,0.76817,0.76929,2957570000
AUDUSD,20180402,10:00,0.76927,0.76947,0.76821,0.76843,2352190000
AUDUSD,20180402,20:00,0.76843,0.7687,0.76753,0.76778,2084300000
AUDUSD,20180402,3:00,0.76774,0.76802,0.76748,0.76789,1911950000
AUDUSD,20180402,4:00,0.76789,0.76791,0.76732,0.76754,1235490000
AUDUSD,20180402,5:00,0.76753,0.76765,0.7672,0.76743,1148060000
AUDUSD,20180402,6:00,0.76742,0.76796,0.76716,0.76796,1995800000
AUDUSD,20180402,7:00,0.76796,0.76853,0.76781,0.76848,1532740000
AUDUSD,20180402,8:00,0.76849,0.76882,0.76809,0.76813,1546970000
AUDUSD,20180402,9:00,0.76817,0.76831,0.76785,0.76788,1371170000
AUDUSD,20180402,10:00,0.76789,0.76815,0.76771,0.76805,1170950000
AUDUSD,20180402,11:00,0.76805,0.7686,0.768,0.76833,2008530000
AUDUSD,20180402,12:00,0.76833,0.76844,0.76676,0.7671,3854290000
AUDUSD,20180402,13:00,0.76711,0.76748,0.76654,0.76684,5325420000
AUDUSD,20180402,14:00,0.76679,0.76758,0.76596,0.76657,4984310000
AUDUSD,20180402,15:00,0.76658,0.76658,0.76531,0.76563,5405600000
AUDUSD,20180402,16:00,0.76564,0.7661,0.76526,0.76605,3884820000
AUDUSD,20180402,17:00,0.76604,0.76608,0.76502,0.76541,4121980000
AUDUSD,20180402,18:00,0.76542,0.76563,0.76492,0.76529,3903550000
AUDUSD,20180402,19:00,0.76526,0.7664,0.76526,0.76632,5533530000
AUDUSD,20180402,20:00,0.76634,0.76634,0.76557,0.766,2326380000
AUDUSD,20180402,21:00,0.76603,0.76631,0.76565,0.76605,1583130000
AUDUSD,20180402,22:00,0.76605,0.76611,0.76543,0.76574,1694840000
AUDUSD,20180402,23:00,0.76575,0.76604,0.76516,0.76522,1774830000
AUDUSD,20180403,0:0,0.76523,0.76694,0.76521,0.76665,3153550000
AUDUSD,20180403,10:00,0.76667,0.76735,0.76629,0.76699,4280500000
AUDUSD,20180403,20:00,0.76699,0.76796,0.76683,0.76779,3529760000
AUDUSD,20180403,3:00,0.76778,0.76834,0.76768,0.76822,2870810000
AUDUSD,20180403,4:00,0.76823,0.76929,0.76819,0.76879,4389700000
AUDUSD,20180403,5:00,0.76881,0.76914,0.76808,0.76844,4336210000
AUDUSD,20180403,6:00,0.76846,0.77065,0.76839,0.77043,6460190000
AUDUSD,20180403,7:00,0.77043,0.77053,0.76932,0.76941,5221170000
AUDUSD,20180403,8:00,0.76941,0.76994,0.7688,0.76888,4767690000
AUDUSD,20180403,9:00,0.76888,0.76925,0.76849,0.76854,4487890000
AUDUSD,20180403,10:00,0.76854,0.76903,0.76792,0.76803,4230840000
AUDUSD,20180403,11:00,0.76802,0.76873,0.76781,0.76831,4485730000
AUDUSD,20180403,12:00,0.76835,0.77023,0.76829,0.76976,7010860000
AUDUSD,20180403,13:00,0.76977,0.76978,0.76797,0.76851,7884210000
AUDUSD,20180403,14:00,0.76851,0.76859,0.76668,0.76727,7217420000
AUDUSD,20180403,15:00,0.76727,0.76838,0.76713,0.76727,6786880000
AUDUSD,20180403,16:00,0.76727,0.76842,0.76727,0.76835,5184080000
